Date,NSW_gov_final_exp,NSW_Household_cons_exp,NSW_Priv_Gross_fixed_cap_ form,NSW_Pub_Gross_fixed_cap_ form,NSW_SFD,Vic_gov_final_exp ,Vic_Household_cons_exp,Vic_Priv_Gross_fixed_cap_ form,Vic_Pub_Gross_fixed_cap_ form,Vic_SFD,queensland_gov_final_exp,queensland_Household_cons_exp,queensland_Priv_Gross_fixed_cap_ form,queensland_Pub_Gross_fixed_cap_ form,queensland_SFD,SA_gov_final_exp,SA_Household_cons_exp,SA_Priv_Gross_fixed_cap_ form,SA_Pub_Gross_fixed_cap_ form,SA_SFD,WA_gov_final_exp ,WA_Household_cons_exp,WA_Priv_Gross_fixed_cap_ form,WA_Pub_Gross_fixed_cap_ form,WA_SFD,Tas_gov_final_exp ,Tas_Household_cons_exp,Tas_Priv_Gross_fixed_cap_ form,Tas_Pub_Gross_fixed_cap_ form,Tas_SFD,NT_gov_final_exp ,NT_Household_cons_exp,NT_Priv_Gross_fixed_cap_ form,NT_Pub_Gross_fixed_cap_ form,NT_SFD,ACT_gov_final_exp ,ACT_Household_cons_exp,ACT_Priv_Gross_fixed_cap_ form,ACT_Pub_Gross_fixed_cap_ form,ACT_SFD
11-Mar,1.2,0.5,1.4,-1.1,0.6,-0.7,0.8,0.3,1.8,0.4,0.9,0.4,10.5,-4.6,2,0,-0.3,-1.7,-0.3,-0.6,1.9,1.7,11.8,2.9,5,1.5,0.2,0.6,-1.6,0.4,1.3,0.9,-1.4,1.9,0.6,16,-0.3,-3.5,9.9,7
11-Jun,2.7,0.2,-1.6,-7.8,-0.1,0.2,1.5,-0.2,-7.2,0.4,1.1,0.6,12.4,-12.6,2.2,-1.2,-0.3,9.1,-9.3,0.6,4,1.5,2.2,-17.8,1,-2.6,-0.8,2,-1.5,-0.8,1.2,0.2,-2.3,-2.9,-0.4,-4.1,-0.6,6.2,-21.8,-3.4
11-Sep,-1.1,0.6,2,0.6,0.5,2.6,0.2,1.6,-10,0.5,0,1.3,11.3,13.3,4.1,3.4,0.6,-5,1.8,0.2,0.3,1,20.6,18,8.5,0.9,-0.3,4.1,3.9,0.9,1,-1,13.5,1.1,2.3,5.9,0.5,-3.5,31.6,4.7
11-Dec,-0.2,0.5,1.9,0.3,0.6,0.2,0.6,-12.2,74.2,0.7,2.1,0.1,3.2,-3.3,1.1,0.3,0.1,2.8,-1,0.6,1.4,0.6,-9.3,-6.7,-3.4,-2.9,-0.4,-2.9,-6,-1.7,0.4,0,26.9,-0.9,5.2,1.6,0.5,3.4,3.2,1.6
12-Mar,3.4,0.7,-2.2,-3.3,0.5,0.1,1.8,12.8,-40.6,0.6,-0.5,1.7,0.1,-2.2,0.7,-1.5,0.8,6.5,-1.8,1.3,1.5,2.9,21.1,0.4,9.5,-0.9,0.5,-6.7,-6.1,-1.3,-0.9,2.1,29.6,-8.2,6.9,-7.7,2.1,7.1,-2.1,-2.2
12-Jun,-1.4,0.5,2.9,12.2,1.1,0.7,-0.1,-0.7,-2.5,-0.2,2.2,0.6,3.7,9.1,2.3,5.5,0.3,-7.1,18.5,0.9,0.7,1,3.8,21.7,3,-0.6,0.9,2.7,-12,0.1,1.6,1.9,17.6,19.5,7.5,5.6,0.2,7.1,-1.2,3.1
12-Sep,0,0.3,1.7,-7,0.1,-0.2,-0.1,2,26.6,1.2,-2.6,0.4,-2.2,-4.7,-1.2,-2.1,-0.3,-0.3,-17.6,-1.6,-0.5,1.2,2.7,-11,1,2.1,-0.6,-8,-6.8,-1.5,-2,0.8,3.8,-34.2,-1.6,-5.7,1.2,-10.1,-13.6,-4.5
12-Dec,2.1,0.4,0.1,9.4,1.1,-3.9,-0.3,-25.7,81.6,-2,-1.5,0.4,1.9,-4.5,0.1,2,-0.6,0.7,0,0.1,0.1,0.9,-3.1,-1.6,-1.1,-1.1,-1.6,-1.6,21.2,-0.3,2.4,1.8,56,15.2,19.6,5.8,-0.4,4.5,-4.7,2.6
13-Mar,-1.6,0.7,-2.2,-5,-0.5,4.6,0.7,29.6,-42.2,2,2.2,0.4,1.7,-6.9,0.6,-2,0.6,-0.8,12.5,0.6,1,0,-9.9,7.1,-3.7,1.5,0.2,-2.4,-4.4,-0.2,-3,-0.6,-5.9,-16.5,-3.9,5.6,0.6,0.3,1.5,3
13-Jun,-0.2,0,18.4,-76,-0.5,2,0.5,-1.1,-11.5,-0.1,-0.8,0.5,-0.4,-8,-0.6,2.4,-0.5,-1.2,-0.1,-0.4,0.8,0.7,2.4,1.6,1.4,-0.9,0.4,-2.6,-12.6,-1,-0.7,0.8,-2,43.6,0.2,-3.6,1,-4.4,-15,-2.7
13-Sep,0.4,1,-17.1,305.9,0.8,1.4,1,2,-8.9,0.8,-0.6,1,0.5,7.3,1.1,-0.8,1.3,5.5,-12.2,1.2,2.8,-0.2,2.5,-4.4,1.2,-0.4,0.8,4,18.3,1.8,1.2,0.8,5.5,-4.9,2.9,0.3,0.2,-9.8,16.6,0.2
13-Dec,1.2,0.6,2.3,-0.4,0.9,-0.3,0.8,-1.4,-1.7,0.1,2.4,0.1,-1.2,16.4,1.1,2.6,-0.7,-3.1,-6.1,-0.7,1,1,-7.8,18.4,-1.7,0.4,0.4,1.3,-1,0.5,2.2,-0.8,-1,-10,-0.6,1,-0.3,1.6,-1,0.4
14-Mar,0.6,1.3,5.1,11.3,2.2,-1.2,0.6,2,-2.1,0.3,-3.4,0.6,-2.9,-17.3,-2.1,-0.4,0.5,-3,-4.1,-0.5,-0.1,0.2,5.3,-19.1,1.1,-2.3,0.9,1.9,6.5,0.6,-0.4,-0.1,-28.4,-13.7,-12.5,-4.9,-0.1,3.5,-0.4,-2.1
14-Jun,1,0.7,3.5,-32.3,-0.4,-1.3,0.8,1.1,14.7,1,1.6,0.4,-0.4,2.6,0.5,-1.5,-0.2,9.4,-6.7,0.9,-0.9,-0.3,-6,-7.7,-2.8,2.9,-0.4,-6.8,-7.7,-1,1.6,-1.6,35.9,-20.8,11.2,-3.3,-0.5,-0.6,-3.4,-2
14-Sep,-0.1,1.4,-1.6,30.8,1.6,2.7,0.8,0.1,-15.5,0.4,0.6,0.3,-9.3,-1.1,-2.1,1.4,1.2,-1.5,6,1,1.1,0.7,-2.9,4.2,-0.5,0.5,-0.1,12.4,0.2,1.6,-1.7,0.9,6.8,-15.5,1.8,2.9,1.9,-0.8,28,3.7
14-Dec,-0.6,0.7,1.2,-5.8,0.3,2.7,0.6,4.1,0.5,1.6,0.5,0.6,-2.6,-16,-1.1,-0.6,0.7,3.6,-19.5,0.1,1.6,0.6,0.8,-2,0.7,0.3,0.9,1,-8.7,0.3,0.3,0.1,-27.9,244.4,-4.5,-1.4,0.8,-5.1,-6.4,-1.2
15-Mar,1.6,-0.2,1,2.1,0.5,0,0.9,3.5,7.2,1.4,3.4,0.9,-5.2,-4.8,-0.3,2.1,0.8,1.4,4.4,1.3,-0.6,0,-3.3,4.6,-1.1,-0.9,0.4,-0.5,4.1,0.2,2.1,0.8,16,-63.3,-0.8,5.8,0.7,2,-3.1,2.9
15-Jun,2.4,0.9,-0.7,7.8,1.1,0.6,0.6,0.8,-0.1,0.6,0.6,0.6,-7.8,14.7,-0.6,-0.2,0.4,-7.5,13.1,-0.7,0.8,0.4,2,-1.6,1,-0.1,0,4.1,3.6,0.8,-0.7,-1,-26.4,-1,-10.3,-1.1,0.5,4.2,-2.4,-0.1
15-Sep,1.2,1,-1.8,1.4,0.5,1,1.3,2.3,-3.4,1.3,1.3,0.3,-2.1,-10.7,-0.6,-0.2,0.3,3.5,-10.6,0.3,1,0.3,-4,-6.2,-1.4,2.4,2.3,-2.2,4.6,1.8,2.2,3.9,-9.8,12.7,-0.3,2.9,1.5,1.2,-19,0.5
15-Dec,0.7,0.5,3.1,3.5,1.1,1.6,0.7,2.3,1.9,1.2,0.4,0.2,-4.2,4.7,-0.4,1.4,0.7,-3.3,10.5,0.5,0.8,-0.1,-9.9,1.1,-3.3,1.9,0.5,-0.2,-8.5,0.2,0.6,0.8,10.9,-10.3,3,-0.1,0.6,-4.4,15,0.6
16-Mar,0.8,1,5.2,6.8,2,1.1,0.8,-3.4,14,0.5,2.8,0.5,-1.5,4.5,0.7,1.9,0.9,-5.9,9.1,0.3,1.7,0.9,-5.8,3.3,-1,1.7,0.4,-11.4,2,-0.9,0.7,1.6,0,31.7,2.1,1.3,1.3,2.3,2.5,1.5
16-Jun,2.6,0.6,2.5,-3.3,1.1,2.6,0.5,-2.6,24.9,1.3,2.2,0.3,-0.1,-0.8,0.6,2.7,0.5,-2.1,4.8,0.8,1.5,0,-12.9,3.9,-3.5,1.1,0.1,-0.3,11.5,0.9,1.1,0.7,5.9,-6.5,1.9,-5.4,-0.1,4.5,9,-1.5
16-Sep,0.9,0.2,-0.7,6.3,0.4,2.3,0.8,3.5,-20.5,0.5,1.4,0.9,2.6,-9.9,0.8,0.4,1.3,2.7,-4.4,1.1,0.9,0.8,-15.6,1.4,-3.7,1.2,-0.5,0.6,-7.3,-0.4,2.4,-0.5,5.5,15.4,2.9,6,0.7,0.1,-6.6,2.4
16-Dec,0.3,1.2,-4.6,22.4,0.9,0.2,0.7,4.1,6.7,1.4,0.3,0.9,0.5,15.5,1.3,-1.8,0.4,1,12.6,0.5,-1.7,-0.3,5.8,-3.8,0.7,0.3,0.2,1.1,19.5,1.3,-1.5,0.5,2.7,-2.9,0.5,-2,0.6,12.7,2.2,0.8
17-Mar,0.9,0.4,3.8,-17.4,0,1.4,1,-1.5,18.6,1.2,2,-0.1,-1.9,5.6,0.3,3.8,0.5,10.1,-7.5,2.2,1,0.3,-2.9,8.1,-0.1,1.7,0.9,3.9,-1.6,1.3,2,-1.1,16,3.3,5.3,2.3,1.1,-7.4,10.7,1.4
17-Jun,1.6,0.3,1.6,5.2,1,1.5,0.8,3.7,-5.7,1.1,0.1,0.9,4.5,-5.1,1,1.4,0.6,-55.5,225.4,0.8,2.3,0.5,-3.7,-2.4,-0.3,1.1,1.4,1.2,-0.1,1.1,-0.7,0.4,-2.6,-14.7,-1.7,-0.6,1.2,5.7,-14.7,-0.4
17-Sep,-1,0.6,1.1,8.7,0.8,1.3,0.9,1.9,1.3,1.2,1.4,0.7,3.2,-4.6,1.1,-0.8,0.1,149.8,-79.2,0.3,-1.8,0.5,3.8,2.5,0.9,-0.8,1,6.3,-4.2,1,-1.1,0.3,1.7,14.7,1,-0.8,0.6,-4.6,30,1.3
17-Dec,2.3,1.1,3,-4.6,1.3,1.3,1.2,-4.9,16.7,0.7,1.5,0.7,-0.7,6.6,0.9,2.4,1.3,-9.9,95.6,2,1.5,0.5,0.4,-4.8,0.5,-0.2,1.5,9.2,-13.8,1.1,1.3,0.5,-21.8,7.9,-6.6,1.9,1.3,8.6,-12.3,1.2
18-Mar,2.1,0.4,0.7,-0.4,0.8,1.1,0.7,9.3,-3.1,2.2,1.9,0.9,0.1,2.4,1,0.7,0.4,0.4,-3.5,0.3,0,0.3,-3.6,-4,-0.9,3.2,0.1,-5.5,37.9,2,1.3,-0.5,-6.8,-5,-2.1,-0.9,0.5,-2,-3.5,-0.7
18-Jun,-0.7,0.9,-0.9,0.4,0.3,1.7,1,-0.1,6.2,1.2,-0.4,0.3,2.1,0.2,0.5,-0.3,0.3,5.8,-8,0.7,-0.9,0.3,-2.2,-6.2,-0.8,1.6,1.7,5,-13.7,1.1,0.8,0.7,-13.9,4.9,-3.1,3,1.2,-9.9,14.7,1.6
18-Sep,2,0.1,1.9,11.3,1.4,0.6,0.4,2,-6.3,0.4,0.1,0.3,-4.9,1.6,-0.7,0.8,0,-3.8,6,-0.1,0.4,-0.1,-0.7,7,0.1,0,0.7,-1.7,16.8,1.1,-2.1,-1.7,-32.5,0.1,-9.3,3.6,0.2,20.3,-14.6,2.6
18-Dec,1.3,-0.1,-3,-4.7,-0.7,1.6,0.5,1.8,-2.8,0.8,2.6,0.4,-2.2,0,0.3,0.7,0.3,0.1,11.5,0.9,0.9,0.5,-4.7,0.4,-0.7,2.5,0.7,3.5,-5.7,1,2,-1.5,-13.7,-5.4,-2.8,3,0.8,-8.9,13.2,1.5
19-Mar,0.9,0.2,-0.3,5.6,0.4,2.6,0.2,-2.7,-3,-0.1,0.2,0.1,0,8.5,0.5,1.2,0.2,3.2,-18.9,-0.2,0.9,0.1,-4.5,-4.7,-1.1,2.1,0.2,-0.3,5.7,0.9,-0.6,-0.9,-9.4,-3.2,-2.4,0,0,6.4,-6.7,0.1
19-Jun,3.2,0.1,-1.5,-6.4,-0.1,4.7,0.4,-5.5,15.9,0.7,4.3,0.7,-5.5,-0.5,0.2,2.2,0.1,-2.3,-5.1,-0.1,1,0.4,7.9,2.7,2.2,1.8,0,1.7,-1.7,0.5,2.3,-1.1,-8.5,1.1,-0.9,1.4,0.2,-1.8,-7.1,0
